# =============================================================================
# LOG MISSIONE AUTOPILOTA APRILTAG
# =============================================================================
# Descrizione: campioni registrati durante il volo autonomo; include posa stimata, waypoint attivo, distanze dal target, comandi RC e stato della missione.
# Generato il: 2026-09-07 09:20:38
# Formato dati: tabella CSV testuale con separatore ','
# Nota: le righe che iniziano con '#' sono commenti descrittivi.
# Separatore degli ID AprilTag multipli: '|'
#
# Legenda colonne:
# - timestamp_s: timestamp assoluto UNIX del campione [s]
# - tempo_relativo_s: tempo trascorso dal primo campione del file [s]
# - x_mondo_m: coordinata X della posa usata dall'autopilota nel frame mondo [m]
# - y_mondo_m: coordinata Y della posa usata dall'autopilota nel frame mondo [m]
# - z_mondo_m: coordinata Z della posa usata dall'autopilota nel frame mondo [m]
# - yaw_mondo_deg: yaw della posa usata dall'autopilota [deg]
# - waypoint_x_m: coordinata X del waypoint attivo [m]
# - waypoint_y_m: coordinata Y del waypoint attivo [m]
# - waypoint_z_m: coordinata Z del waypoint attivo [m]
# - waypoint_yaw_deg: yaw desiderato del waypoint attivo [deg]
# - comando_lr: comando RC laterale left/right inviato o calcolato dall'autopilota
# - comando_fb: comando RC forward/backward inviato o calcolato dall'autopilota
# - comando_ud: comando RC up/down inviato o calcolato dall'autopilota
# - comando_yaw: comando RC di rotazione yaw inviato o calcolato dall'autopilota
# - distanza_xy_m: distanza planare dal waypoint attivo [m]
# - distanza_3d_m: distanza spaziale dal waypoint attivo [m]
# - errore_yaw_deg: errore di orientamento rispetto al waypoint [deg]
# - indice_waypoint: indice del waypoint attivo nella sequenza
# - waypoint_raggiunto: true se il waypoint è stato considerato raggiunto in quel campione
# - missione_finita: true se la sequenza di waypoint risulta completata
# - fault: true se il controllore segnala una condizione anomala
# - motivo: motivo diagnostico restituito dall'autopilota
# - tag_ids: ID degli AprilTag usati per la stima, separati dal carattere indicato sopra
# - sorgente_posa: descrizione della sorgente della posa usata dall'autopilota
# =============================================================================

timestamp_s,tempo_relativo_s,x_mondo_m,y_mondo_m,z_mondo_m,yaw_mondo_deg,waypoint_x_m,waypoint_y_m,waypoint_z_m,waypoint_yaw_deg,comando_lr,comando_fb,comando_ud,comando_yaw,distanza_xy_m,distanza_3d_m,errore_yaw_deg,indice_waypoint,waypoint_raggiunto,missione_finita,fault,motivo,tag_ids,sorgente_posa
1788765498.011,0.000,0.081,0.994,1.712,98.816,0.000,1.200,2.000,70.000,-2,-11,13,-23,0.221,0.363,-28.816,0,false,false,false,tracking,1,kalman(weighted_average)
1788765498.060,0.049,0.078,0.997,1.706,98.906,0.000,1.200,2.000,70.000,-2,-11,13,-23,0.217,0.366,-28.906,0,false,false,false,tracking,1,kalman(weighted_average)
1788765498.106,0.095,0.082,0.999,1.705,98.874,0.000,1.200,2.000,70.000,-2,-11,13,-23,0.217,0.366,-28.874,0,false,false,false,tracking,1,kalman(weighted_average)
1788765498.228,0.217,0.089,0.999,1.709,98.780,0.000,1.200,2.000,70.000,-3,-11,13,-23,0.219,0.364,-28.780,0,false,false,false,tracking,1,kalman(weighted_average)
1788765498.277,0.266,0.091,1.008,1.722,98.807,0.000,1.200,2.000,70.000,-3,-10,13,-23,0.212,0.350,-28.807,0,false,false,false,tracking,1,kalman(weighted_average)
1788765498.324,0.313,0.091,1.010,1.725,98.820,0.000,1.200,2.000,70.000,-3,-10,12,-23,0.210,0.346,-28.820,0,false,false,false,tracking,1,kalman(weighted_average)
1788765498.381,0.370,0.090,1.011,1.727,98.827,0.000,1.200,2.000,70.000,-3,-10,12,-23,0.210,0.344,-28.827,0,false,false,false,tracking,1,kalman(weighted_average)
1788765498.505,0.494,0.100,1.013,1.730,98.701,0.000,1.200,2.000,70.000,-4,-10,12,-23,0.213,0.344,-28.701,0,false,false,false,tracking,1,kalman(weighted_average)
1788765498.557,0.546,0.095,1.011,1.721,98.214,0.000,1.200,2.000,70.000,-3,-10,13,-23,0.211,0.350,-28.214,0,false,false,false,tracking,1,kalman(weighted_average)
1788765498.604,0.593,0.103,1.012,1.724,97.681,0.000,1.200,2.000,70.000,-4,-10,12,-23,0.215,0.349,-27.681,0,false,false,false,tracking,1,kalman(weighted_average)
1788765498.657,0.646,0.105,1.015,1.733,97.039,0.000,1.200,2.000,70.000,-4,-10,12,-23,0.213,0.342,-27.039,0,false,false,false,tracking,1,kalman(weighted_average)
1788765498.704,0.693,0.099,1.020,1.735,96.468,0.000,1.200,2.000,70.000,-4,-9,12,-23,0.205,0.335,-26.468,0,false,false,false,tracking,1,kalman(weighted_average)
1788765498.835,0.824,0.102,1.023,1.738,95.827,0.000,1.200,2.000,70.000,-4,-9,12,-23,0.204,0.333,-25.827,0,false,false,false,tracking,1,kalman(weighted_average)
1788765498.885,0.874,0.111,1.032,1.755,94.139,0.000,1.200,2.000,70.000,-5,-9,11,-23,0.201,0.317,-24.139,0,false,false,false,tracking,1,kalman(weighted_average)
1788765498.935,0.924,0.108,1.038,1.770,93.632,0.000,1.200,2.000,70.000,-5,-8,10,-23,0.195,0.301,-23.632,0,false,false,false,tracking,1,kalman(weighted_average)
1788765498.979,0.968,0.093,1.037,1.760,93.227,0.000,1.200,2.000,70.000,-4,-8,11,-23,0.187,0.304,-23.227,0,false,false,false,tracking,1,kalman(weighted_average)
1788765499.107,1.096,0.078,1.040,1.759,92.867,0.000,1.200,2.000,70.000,-3,-8,11,-23,0.178,0.299,-22.867,0,false,false,false,tracking,1,kalman(weighted_average)
1788765499.163,1.152,0.098,1.049,1.776,91.146,0.000,1.200,2.000,70.000,-5,-8,10,-23,0.180,0.287,-21.146,0,false,false,false,tracking,1,kalman(weighted_average)
1788765499.206,1.195,0.101,1.053,1.772,90.394,0.000,1.200,2.000,70.000,-5,-7,10,-23,0.178,0.290,-20.394,0,false,false,false,tracking,1,kalman(weighted_average)
1788765499.261,1.250,0.106,1.055,1.777,89.718,0.000,1.200,2.000,70.000,-5,-7,10,-23,0.179,0.286,-19.718,0,false,false,false,tracking,1,kalman(weighted_average)
1788765499.377,1.366,0.101,1.057,1.777,89.090,0.000,1.200,2.000,70.000,-5,-7,10,-23,0.175,0.284,-19.090,0,false,false,false,tracking,1,kalman(weighted_average)
