# =============================================================================
# LOG MISSIONE AUTOPILOTA APRILTAG
# =============================================================================
# Descrizione: campioni registrati durante il volo autonomo; include posa stimata, waypoint attivo, distanze dal target, comandi RC e stato della missione.
# Generato il: 2026-09-08 12:50:14
# Formato dati: tabella CSV testuale con separatore ','
# Nota: le righe che iniziano con '#' sono commenti descrittivi.
# Separatore degli ID AprilTag multipli: '|'
#
# Legenda colonne:
# - timestamp_s: timestamp assoluto UNIX del campione [s]
# - tempo_relativo_s: tempo trascorso dal primo campione del file [s]
# - x_mondo_m: coordinata X della posa usata dall'autopilota nel frame mondo [m]
# - y_mondo_m: coordinata Y della posa usata dall'autopilota nel frame mondo [m]
# - z_mondo_m: coordinata Z della posa usata dall'autopilota nel frame mondo [m]
# - yaw_mondo_deg: yaw della posa usata dall'autopilota [deg]
# - waypoint_x_m: coordinata X del waypoint attivo [m]
# - waypoint_y_m: coordinata Y del waypoint attivo [m]
# - waypoint_z_m: coordinata Z del waypoint attivo [m]
# - waypoint_yaw_deg: yaw desiderato del waypoint attivo [deg]
# - comando_lr: comando RC laterale left/right inviato o calcolato dall'autopilota
# - comando_fb: comando RC forward/backward inviato o calcolato dall'autopilota
# - comando_ud: comando RC up/down inviato o calcolato dall'autopilota
# - comando_yaw: comando RC di rotazione yaw inviato o calcolato dall'autopilota
# - distanza_xy_m: distanza planare dal waypoint attivo [m]
# - distanza_3d_m: distanza spaziale dal waypoint attivo [m]
# - errore_yaw_deg: errore di orientamento rispetto al waypoint [deg]
# - indice_waypoint: indice del waypoint attivo nella sequenza
# - waypoint_raggiunto: true se il waypoint è stato considerato raggiunto in quel campione
# - missione_finita: true se la sequenza di waypoint risulta completata
# - fault: true se il controllore segnala una condizione anomala
# - motivo: motivo diagnostico restituito dall'autopilota
# - tag_ids: ID degli AprilTag usati per la stima, separati dal carattere indicato sopra
# - sorgente_posa: descrizione della sorgente della posa usata dall'autopilota
# =============================================================================

timestamp_s,tempo_relativo_s,x_mondo_m,y_mondo_m,z_mondo_m,yaw_mondo_deg,waypoint_x_m,waypoint_y_m,waypoint_z_m,waypoint_yaw_deg,comando_lr,comando_fb,comando_ud,comando_yaw,distanza_xy_m,distanza_3d_m,errore_yaw_deg,indice_waypoint,waypoint_raggiunto,missione_finita,fault,motivo,tag_ids,sorgente_posa
1788864485.344,0.000,-0.046,-0.066,2.110,74.521,0.000,1.200,2.000,70.000,-15,-18,0,-11,1.267,1.272,-4.521,0,false,false,false,tracking,17,kalman(weighted_average)
1788864485.393,0.050,-0.044,-0.064,2.096,74.530,0.000,1.200,2.000,70.000,-15,-18,0,-11,1.265,1.268,-4.530,0,false,false,false,tracking,17,kalman(weighted_average)
1788864485.435,0.092,-0.048,-0.059,2.091,74.618,0.000,1.200,2.000,70.000,-14,-18,0,-12,1.260,1.263,-4.618,0,false,false,false,tracking,17,kalman(weighted_average)
1788864485.493,0.149,-0.051,-0.055,2.088,74.710,0.000,1.200,2.000,70.000,-14,-18,0,-12,1.256,1.259,-4.710,0,false,false,false,tracking,17,kalman(weighted_average)
1788864485.535,0.191,-0.040,-0.065,2.099,74.531,0.000,1.200,2.000,70.000,-15,-18,0,-11,1.265,1.269,-4.531,0,false,false,false,tracking,17,kalman(weighted_average)
1788864485.681,0.337,-0.044,-0.057,2.080,74.619,0.000,1.200,2.000,70.000,-15,-18,0,-12,1.258,1.261,-4.619,0,false,false,false,tracking,17,kalman(weighted_average)
1788864485.740,0.396,-0.038,-0.064,2.074,74.497,0.000,1.200,2.000,70.000,-15,-18,0,-11,1.264,1.266,-4.497,0,false,false,false,tracking,17,kalman(weighted_average)
1788864485.800,0.456,-0.041,-0.060,2.043,74.541,0.000,1.200,2.000,70.000,-15,-18,0,-11,1.260,1.261,-4.541,0,false,false,false,tracking,17,kalman(weighted_average)
1788864485.882,0.539,-0.062,-0.053,2.044,74.853,0.000,1.200,2.000,70.000,-13,-18,0,-12,1.254,1.255,-4.853,0,false,false,false,tracking,17,kalman(weighted_average)
1788864486.043,0.700,-0.061,-0.056,2.053,74.845,0.000,1.200,2.000,70.000,-13,-18,0,-12,1.258,1.259,-4.845,0,false,false,false,tracking,17,kalman(weighted_average)
1788864486.099,0.755,-0.041,-0.081,2.069,74.456,0.000,1.200,2.000,70.000,-15,-18,0,-11,1.281,1.283,-4.456,0,false,false,false,tracking,17,kalman(weighted_average)
1788864486.166,0.822,-0.054,-0.067,2.065,74.690,0.000,1.200,2.000,70.000,-14,-18,0,-12,1.268,1.270,-4.690,0,false,false,false,tracking,17,kalman(weighted_average)
1788864486.357,1.013,-0.038,-0.076,2.047,74.422,0.000,1.200,2.000,70.000,-15,-18,0,-11,1.277,1.278,-4.422,0,false,false,false,tracking,17,kalman(weighted_average)
1788864486.409,1.066,-0.048,-0.065,2.033,74.584,0.000,1.200,2.000,70.000,-14,-18,0,-11,1.266,1.267,-4.584,0,false,false,false,tracking,17,kalman(weighted_average)
1788864486.455,1.111,-0.049,-0.061,2.034,74.586,0.000,1.200,2.000,70.000,-14,-18,0,-11,1.262,1.262,-4.586,0,false,false,false,tracking,17,kalman(weighted_average)
1788864486.509,1.166,-0.048,-0.065,2.049,74.357,0.000,1.200,2.000,70.000,-15,-18,0,-11,1.266,1.267,-4.357,0,false,false,false,tracking,17,kalman(weighted_average)
1788864486.640,1.296,-0.048,-0.065,2.049,74.531,0.000,1.200,2.000,70.000,-15,-18,0,-11,1.266,1.267,-4.531,0,false,false,false,tracking,9,kalman(weighted_average)
1788864486.681,1.338,0.042,0.281,2.061,73.807,0.000,1.200,2.000,70.000,-15,-18,0,0,0.920,0.922,-3.807,0,false,false,false,tracking,9,kalman(weighted_average)
1788864486.741,1.398,0.058,0.354,2.058,73.265,0.000,1.200,2.000,70.000,-15,-18,0,0,0.848,0.850,-3.265,0,false,false,false,tracking,9,kalman(weighted_average)
1788864486.800,1.456,0.053,0.373,2.061,72.853,0.000,1.200,2.000,70.000,-15,-18,0,0,0.829,0.831,-2.853,0,false,false,false,tracking,9,kalman(weighted_average)
1788864486.962,1.618,0.045,0.380,2.064,72.420,0.000,1.200,2.000,70.000,-15,-18,0,0,0.821,0.824,-2.420,0,false,false,false,tracking,9,kalman(weighted_average)
1788864487.025,1.682,0.033,0.395,2.060,71.490,0.000,1.200,2.000,70.000,-14,-18,0,0,0.805,0.808,-1.490,0,false,false,false,tracking,9,kalman(weighted_average)
1788864487.085,1.742,0.025,0.401,2.060,71.246,0.000,1.200,2.000,70.000,-14,-18,0,0,0.799,0.801,-1.246,0,false,false,false,tracking,9,kalman(weighted_average)
1788864487.147,1.804,0.018,0.417,2.062,71.030,0.000,1.200,2.000,70.000,-14,-18,0,0,0.783,0.785,-1.030,0,false,false,false,tracking,9,kalman(weighted_average)
1788864487.309,1.966,0.014,0.437,2.060,70.828,0.000,1.200,2.000,70.000,-13,-18,0,0,0.763,0.765,-0.828,0,false,false,false,tracking,9,kalman(weighted_average)
1788864487.355,2.012,0.000,0.485,2.062,70.609,0.000,1.200,2.000,70.000,-12,-18,0,0,0.715,0.718,-0.609,0,false,false,false,tracking,9,kalman(weighted_average)
1788864487.412,2.068,-0.003,0.503,2.068,70.589,0.000,1.200,2.000,70.000,-11,-18,0,0,0.697,0.700,-0.589,0,false,false,false,tracking,9,kalman(weighted_average)
1788864487.465,2.121,-0.007,0.525,2.065,70.588,0.000,1.200,2.000,70.000,-11,-18,0,0,0.675,0.679,-0.588,0,false,false,false,tracking,9,kalman(weighted_average)
1788864487.595,2.251,-0.014,0.537,2.068,70.625,0.000,1.200,2.000,70.000,-10,-18,0,0,0.663,0.667,-0.625,0,false,false,false,tracking,9,kalman(weighted_average)
1788864487.650,2.306,-0.029,0.590,2.070,70.603,0.000,1.200,2.000,70.000,-9,-18,0,0,0.610,0.614,-0.603,0,false,false,false,tracking,9,kalman(weighted_average)
1788864487.707,2.363,-0.036,0.606,2.073,70.656,0.000,1.200,2.000,70.000,-8,-18,0,0,0.595,0.600,-0.656,0,false,false,false,tracking,9,kalman(weighted_average)
1788864487.774,2.430,-0.045,0.624,2.065,70.681,0.000,1.200,2.000,70.000,-7,-18,0,0,0.578,0.582,-0.681,0,false,false,false,tracking,9,kalman(weighted_average)
1788864487.909,2.565,-0.042,0.643,2.059,70.600,0.000,1.200,2.000,70.000,-7,-18,0,0,0.558,0.561,-0.600,0,false,false,false,tracking,9,kalman(weighted_average)
1788864487.951,2.608,-0.065,0.567,2.029,69.643,0.000,1.200,2.000,70.000,-8,-18,0,0,0.636,0.637,0.357,0,false,false,false,tracking,9|11,kalman(weighted_average)
1788864488.016,2.673,-0.074,0.551,2.022,69.241,0.000,1.200,2.000,70.000,-8,-18,0,0,0.654,0.654,0.759,0,false,false,false,tracking,9|11,kalman(weighted_average)
1788864488.105,2.761,-0.080,0.561,2.019,69.107,0.000,1.200,2.000,70.000,-8,-18,0,0,0.644,0.645,0.893,0,false,false,false,tracking,9|11,kalman(weighted_average)
1788864488.272,2.929,-0.085,0.560,2.007,68.683,0.000,1.200,2.000,70.000,-8,-18,0,0,0.645,0.645,1.317,0,false,false,false,tracking,11,kalman(weighted_average)
1788864488.323,2.980,-0.094,0.602,2.002,68.619,0.000,1.200,2.000,70.000,-7,-18,0,0,0.605,0.605,1.381,0,false,false,false,tracking,11,kalman(weighted_average)
1788864488.379,3.035,-0.100,0.623,2.002,68.716,0.000,1.200,2.000,70.000,-6,-18,0,0,0.586,0.586,1.284,0,false,false,false,tracking,11,kalman(weighted_average)
1788864488.426,3.082,-0.105,0.640,2.003,68.789,0.000,1.200,2.000,70.000,-5,-18,0,0,0.569,0.569,1.211,0,false,false,false,tracking,11,kalman(weighted_average)
1788864488.552,3.209,-0.106,0.658,2.000,68.789,0.000,1.200,2.000,70.000,-5,-18,0,0,0.552,0.552,1.211,0,false,false,false,tracking,11,kalman(weighted_average)
1788864488.604,3.260,-0.114,0.700,2.001,68.854,0.000,1.200,2.000,70.000,-4,-18,0,0,0.513,0.513,1.146,0,false,false,false,tracking,11,kalman(weighted_average)
1788864488.659,3.315,-0.112,0.716,1.998,68.812,0.000,1.200,2.000,70.000,-4,-18,0,0,0.497,0.497,1.188,0,false,false,false,tracking,11,kalman(weighted_average)
1788864488.708,3.365,-0.113,0.732,1.996,68.822,0.000,1.200,2.000,70.000,-3,-18,0,0,0.481,0.481,1.178,0,false,false,false,tracking,11,kalman(weighted_average)
1788864488.850,3.507,-0.115,0.743,1.995,68.845,0.000,1.200,2.000,70.000,-3,-18,0,0,0.471,0.471,1.155,0,false,false,false,tracking,11,kalman(weighted_average)
1788864488.897,3.554,-0.120,0.785,1.998,68.928,0.000,1.200,2.000,70.000,-2,-18,0,0,0.432,0.432,1.072,0,false,false,false,tracking,11,kalman(weighted_average)
1788864488.955,3.612,-0.116,0.802,1.994,68.876,0.000,1.200,2.000,70.000,-2,-18,0,0,0.414,0.414,1.124,0,false,false,false,tracking,11,kalman(weighted_average)
1788864489.023,3.680,-0.120,0.811,1.996,68.918,0.000,1.200,2.000,70.000,-1,-18,0,0,0.407,0.407,1.082,0,false,false,false,tracking,11,kalman(weighted_average)
1788864489.206,3.863,-0.114,0.825,1.997,68.815,0.000,1.200,2.000,70.000,-1,-18,0,0,0.392,0.392,1.185,0,false,false,false,tracking,11,kalman(weighted_average)
1788864489.256,3.912,-0.111,0.857,2.003,68.817,0.000,1.200,2.000,70.000,-1,-18,0,0,0.361,0.361,1.183,0,false,false,false,tracking,11,kalman(weighted_average)
1788864489.303,3.960,-0.111,0.870,2.005,68.843,0.000,1.200,2.000,70.000,-1,-17,0,0,0.348,0.348,1.157,0,false,false,false,tracking,11,kalman(weighted_average)
1788864489.359,4.015,-0.111,0.883,2.007,68.871,0.000,1.200,2.000,70.000,-1,-17,0,0,0.336,0.336,1.129,0,false,false,false,tracking,11,kalman(weighted_average)
1788864489.412,4.069,-0.109,0.895,2.011,68.887,0.000,1.200,2.000,70.000,0,-16,0,0,0.324,0.324,1.113,0,false,false,false,tracking,11,kalman(weighted_average)
1788864489.558,4.215,-0.105,0.903,2.014,68.856,0.000,1.200,2.000,70.000,0,-16,0,0,0.315,0.315,1.144,0,false,false,false,tracking,11,kalman(weighted_average)
1788864489.638,4.295,-0.096,0.926,2.016,68.849,0.000,1.200,2.000,70.000,0,-15,0,0,0.290,0.291,1.151,0,false,false,false,tracking,11,kalman(weighted_average)
1788864489.713,4.369,-0.094,0.936,2.018,68.880,0.000,1.200,2.000,70.000,0,-14,0,0,0.280,0.280,1.120,0,false,false,false,tracking,11,kalman(weighted_average)
1788864489.873,4.530,-0.090,0.949,2.018,68.886,0.000,1.200,2.000,70.000,0,-13,0,0,0.267,0.267,1.114,0,false,false,false,tracking,11,kalman(weighted_average)
1788864489.919,4.576,-0.076,0.981,2.017,68.821,0.000,1.200,2.000,70.000,0,-12,0,0,0.232,0.233,1.179,0,false,false,false,tracking,11,kalman(weighted_average)
