epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2;lr/pg3;lr/pg4;lr/pg5;lr/pg6;lr/pg7
30;8831,410;1,28336;0,93346;0,00818;0,84169;0,82584;0,88476;0,55907;1,34061;0,65931;0,00975;0,02712900;0,00904300;0,02712900;0,00904300;0,02712900;0,00904300;0,02712900;0,00904300
31;9122,140;1,27248;0,92710;0,00809;0,85575;0,82867;0,89023;0,56333;1,31322;0,64465;0,00945;0,02703000;0,00901000;0,02703000;0,00901000;0,02703000;0,00901000;0,02703000;0,00901000
32;9412,980;1,26753;0,92525;0,00800;0,85451;0,83652;0,89486;0,57207;1,31703;0,63944;0,00955;0,02693100;0,00897700;0,02693100;0,00897700;0,02693100;0,00897700;0,02693100;0,00897700
33;9702,120;1,26918;0,90704;0,00805;0,85985;0,83597;0,90064;0,57682;1,31139;0,61856;0,00947;0,02683200;0,00894400;0,02683200;0,00894400;0,02683200;0,00894400;0,02683200;0,00894400
34;9991,460;1,26214;0,90058;0,00796;0,83959;0,83910;0,89189;0,56820;1,31785;0,64183;0,00941;0,02673300;0,00891100;0,02673300;0,00891100;0,02673300;0,00891100;0,02673300;0,00891100
35;10283,000;1,25231;0,88547;0,00787;0,85715;0,84125;0,89821;0,57695;1,30093;0,61484;0,00928;0,02663400;0,00887800;0,02663400;0,00887800;0,02663400;0,00887800;0,02663400;0,00887800
36;10574,100;1,24629;0,88366;0,00777;0,86815;0,82867;0,89813;0,58111;1,28902;0,60952;0,00916;0,02653500;0,00884500;0,02653500;0,00884500;0,02653500;0,00884500;0,02653500;0,00884500
37;10862,500;1,24033;0,87615;0,00779;0,86314;0,84286;0,90167;0,58738;1,27363;0,59981;0,00908;0,02643600;0,00881200;0,02643600;0,00881200;0,02643600;0,00881200;0,02643600;0,00881200
38;11153,700;1,23649;0,86359;0,00766;0,85217;0,86944;0,90773;0,58957;1,28246;0,58551;0,00913;0,02633700;0,00877900;0,02633700;0,00877900;0,02633700;0,00877900;0,02633700;0,00877900
39;11499,700;1,23158;0,86012;0,00771;0,86879;0,85064;0,90519;0,58507;1,29315;0,58935;0,00929;0,02623800;0,00874600;0,02623800;0,00874600;0,02623800;0,00874600;0,02623800;0,00874600
40;11915,800;1,23182;0,85460;0,00769;0,87306;0,84459;0,90987;0,59244;1,27020;0,57917;0,00902;0,02613900;0,00871300;0,02613900;0,00871300;0,02613900;0,00871300;0,02613900;0,00871300
41;12324,600;1,22065;0,83835;0,00769;0,88006;0,84519;0,91077;0,59877;1,25761;0,57681;0,00895;0,02604000;0,00868000;0,02604000;0,00868000;0,02604000;0,00868000;0,02604000;0,00868000
42;12739,600;1,21586;0,83990;0,00757;0,87437;0,85680;0,91451;0,59835;1,25907;0,57263;0,00896;0,02594100;0,00864700;0,02594100;0,00864700;0,02594100;0,00864700;0,02594100;0,00864700
43;405,389;1,18572;0,81207;0,00738;0,89106;0,85331;0,91759;0,60392;1,24238;0,55638;0,00878;0,02584200;0,00861400;0,02584200;0,00861400;0,02584200;0,00861400;0,02584200;0,00861400
