# =============================================================================
# CONFRONTO POSE APRILTAG RAW E POSE FILTRATE KALMAN
# =============================================================================
# Descrizione: tabella per valutare quanto il filtro di Kalman modifica la posa stimata a partire dalle misure grezze degli AprilTag.
# Generato il: 2026-09-07 09:31:02
# Formato dati: tabella CSV testuale con separatore ','
# Nota: le righe che iniziano con '#' sono commenti descrittivi.
# Separatore degli ID AprilTag multipli: '|'
#
# Legenda colonne:
# - timestamp_s: timestamp assoluto UNIX del campione [s]
# - tempo_relativo_s: tempo trascorso dal primo campione del file [s]
# - raw_x_m: coordinata X della posa grezza AprilTag [m]
# - raw_y_m: coordinata Y della posa grezza AprilTag [m]
# - raw_z_m: coordinata Z della posa grezza AprilTag [m]
# - raw_yaw_deg: yaw associato alla posa grezza AprilTag [deg]
# - kalman_x_m: coordinata X dopo filtraggio di Kalman [m]
# - kalman_y_m: coordinata Y dopo filtraggio di Kalman [m]
# - kalman_z_m: coordinata Z dopo filtraggio di Kalman [m]
# - kalman_yaw_deg: yaw filtrato da Kalman se yaw_filter_enabled=True, altrimenti corrisponde a quello grezzo [deg]
# - errore_x_m: differenza kalman_x_m - raw_x_m [m]
# - errore_y_m: differenza kalman_y_m - raw_y_m [m]
# - errore_z_m: differenza kalman_z_m - raw_z_m [m]
# - norma_errore_m: norma euclidea della correzione introdotta dal filtro [m]
# - tag_ids: ID degli AprilTag usati per la stima, separati dal carattere indicato sopra
# - sorgente_raw: descrizione della sorgente della posa grezza
# - sorgente_kalman: descrizione della sorgente della posa filtrata
# - outlier_scartato: true se il filtro di Kalman ha scartato la misura grezza: la posa filtrata e' solo la previsione
# =============================================================================

timestamp_s,tempo_relativo_s,raw_x_m,raw_y_m,raw_z_m,raw_yaw_deg,kalman_x_m,kalman_y_m,kalman_z_m,kalman_yaw_deg,errore_x_m,errore_y_m,errore_z_m,norma_errore_m,tag_ids,sorgente_raw,sorgente_kalman,outlier_scartato
1788766020.283,0.000,0.051,-0.145,0.610,81.068,0.051,-0.145,0.610,81.068,0.000,0.000,0.000,0.000,1,weighted_average,kalman(weighted_average),false
1788766020.390,0.107,0.035,-0.145,0.641,81.466,0.035,-0.145,0.641,81.236,0.000,0.000,-0.000,0.000,1,weighted_average,kalman(weighted_average),false
1788766020.445,0.162,0.032,-0.144,0.648,81.557,0.033,-0.145,0.646,81.441,0.001,-0.000,-0.002,0.002,1,weighted_average,kalman(weighted_average),false
1788766020.494,0.211,0.028,-0.145,0.664,81.670,0.029,-0.145,0.660,81.622,0.001,0.000,-0.004,0.004,1,weighted_average,kalman(weighted_average),false
1788766020.545,0.262,0.041,-0.141,0.674,81.303,0.036,-0.142,0.673,81.521,-0.005,-0.001,-0.001,0.005,1,weighted_average,kalman(weighted_average),false
1788766020.596,0.313,0.045,-0.139,0.689,81.185,0.042,-0.140,0.687,81.372,-0.003,-0.000,-0.002,0.003,1,weighted_average,kalman(weighted_average),false
1788766020.713,0.430,0.044,-0.138,0.711,81.199,0.045,-0.138,0.712,81.238,0.001,0.000,0.001,0.002,1,weighted_average,kalman(weighted_average),false
1788766020.766,0.484,0.050,-0.136,0.718,81.047,0.049,-0.136,0.719,81.101,-0.001,-0.000,0.002,0.002,1,weighted_average,kalman(weighted_average),false
1788766020.819,0.536,0.041,-0.137,0.729,81.268,0.044,-0.136,0.729,81.159,0.004,0.001,-0.000,0.004,1,weighted_average,kalman(weighted_average),false
1788766020.881,0.598,0.041,-0.136,0.742,81.254,0.042,-0.136,0.741,81.199,0.001,0.000,-0.001,0.001,1,weighted_average,kalman(weighted_average),false
1788766020.991,0.709,0.043,-0.134,0.759,81.188,0.043,-0.134,0.759,81.190,-0.001,-0.000,0.001,0.001,1,weighted_average,kalman(weighted_average),false
1788766021.044,0.761,0.034,-0.136,0.767,81.424,0.037,-0.135,0.768,81.331,0.003,0.001,0.000,0.003,1,weighted_average,kalman(weighted_average),false
1788766021.094,0.812,0.032,-0.137,0.775,81.469,0.033,-0.136,0.775,81.429,0.001,0.001,0.000,0.001,1,weighted_average,kalman(weighted_average),false
1788766021.145,0.863,0.035,-0.133,0.782,81.366,0.033,-0.135,0.783,81.426,-0.002,-0.001,0.000,0.003,1,weighted_average,kalman(weighted_average),false
1788766021.198,0.915,0.036,-0.133,0.788,81.350,0.034,-0.133,0.789,81.406,-0.002,-0.001,0.001,0.002,1,weighted_average,kalman(weighted_average),false
1788766021.322,1.039,0.042,-0.132,0.802,81.136,0.041,-0.132,0.803,81.215,-0.001,0.000,0.001,0.002,1,weighted_average,kalman(weighted_average),false
1788766021.374,1.092,0.042,-0.130,0.808,81.115,0.042,-0.130,0.809,81.128,0.001,-0.001,0.000,0.001,1,weighted_average,kalman(weighted_average),false
1788766021.435,1.152,0.046,-0.129,0.814,80.988,0.046,-0.129,0.814,81.009,-0.000,0.000,0.000,0.000,1,weighted_average,kalman(weighted_average),false
1788766021.491,1.208,0.046,-0.129,0.818,80.963,0.047,-0.129,0.819,80.944,0.001,0.000,0.001,0.001,1,weighted_average,kalman(weighted_average),false
1788766021.612,1.329,0.025,-0.131,0.817,81.506,0.029,-0.130,0.819,81.325,0.004,0.001,0.002,0.005,1,weighted_average,kalman(weighted_average),false
