# =============================================================================
# CONFRONTO POSE APRILTAG RAW E POSE FILTRATE KALMAN
# =============================================================================
# Descrizione: tabella per valutare quanto il filtro di Kalman modifica la posa stimata a partire dalle misure grezze degli AprilTag.
# Generato il: 2026-09-07 10:10:25
# Formato dati: tabella CSV testuale con separatore ','
# Nota: le righe che iniziano con '#' sono commenti descrittivi.
# Separatore degli ID AprilTag multipli: '|'
#
# Legenda colonne:
# - timestamp_s: timestamp assoluto UNIX del campione [s]
# - tempo_relativo_s: tempo trascorso dal primo campione del file [s]
# - raw_x_m: coordinata X della posa grezza AprilTag [m]
# - raw_y_m: coordinata Y della posa grezza AprilTag [m]
# - raw_z_m: coordinata Z della posa grezza AprilTag [m]
# - raw_yaw_deg: yaw associato alla posa grezza AprilTag [deg]
# - kalman_x_m: coordinata X dopo filtraggio di Kalman [m]
# - kalman_y_m: coordinata Y dopo filtraggio di Kalman [m]
# - kalman_z_m: coordinata Z dopo filtraggio di Kalman [m]
# - kalman_yaw_deg: yaw filtrato da Kalman se yaw_filter_enabled=True, altrimenti corrisponde a quello grezzo [deg]
# - errore_x_m: differenza kalman_x_m - raw_x_m [m]
# - errore_y_m: differenza kalman_y_m - raw_y_m [m]
# - errore_z_m: differenza kalman_z_m - raw_z_m [m]
# - norma_errore_m: norma euclidea della correzione introdotta dal filtro [m]
# - tag_ids: ID degli AprilTag usati per la stima, separati dal carattere indicato sopra
# - sorgente_raw: descrizione della sorgente della posa grezza
# - sorgente_kalman: descrizione della sorgente della posa filtrata
# - outlier_scartato: true se il filtro di Kalman ha scartato la misura grezza: la posa filtrata e' solo la previsione
# =============================================================================

timestamp_s,tempo_relativo_s,raw_x_m,raw_y_m,raw_z_m,raw_yaw_deg,kalman_x_m,kalman_y_m,kalman_z_m,kalman_yaw_deg,errore_x_m,errore_y_m,errore_z_m,norma_errore_m,tag_ids,sorgente_raw,sorgente_kalman,outlier_scartato
1788768424.467,0.000,0.742,1.825,3.227,88.296,0.742,1.825,3.227,88.296,0.000,0.000,0.000,0.000,15,weighted_average,kalman(weighted_average),false
1788768424.533,0.066,-1.019,1.380,-0.637,103.311,0.742,1.825,3.227,92.943,1.761,0.445,3.864,4.270,15,weighted_average,kalman(weighted_average),true
1788768424.576,0.109,-0.146,1.912,2.877,97.126,-0.144,1.912,2.878,94.732,0.002,-0.000,0.001,0.002,3,weighted_average,kalman(weighted_average),false
1788768424.619,0.151,-0.324,1.978,2.467,98.368,-0.144,1.912,2.878,96.719,0.180,-0.066,0.411,0.453,3,weighted_average,kalman(weighted_average),true
1788768424.667,0.200,-0.563,1.807,-0.093,99.618,-0.144,1.912,2.878,98.844,0.419,0.105,2.970,3.002,3,weighted_average,kalman(weighted_average),true
1788768424.740,0.272,-0.859,1.828,-0.047,101.835,-0.144,1.912,2.878,101.653,0.715,0.084,2.925,3.012,3,weighted_average,kalman(weighted_average),true
1788768424.790,0.323,0.280,2.165,1.358,91.987,-0.144,1.912,2.878,97.263,-0.424,-0.253,1.520,1.598,15,weighted_average,kalman(weighted_average),true
1788768424.840,0.373,1.514,1.899,2.743,81.753,-0.144,1.912,2.878,88.974,-1.658,0.013,0.135,1.664,15,weighted_average,kalman(weighted_average),true
1788768424.890,0.423,0.416,2.102,1.530,90.947,0.408,2.099,1.549,88.475,-0.008,-0.003,0.019,0.021,15,weighted_average,kalman(weighted_average),false
1788768424.947,0.480,-3.204,0.411,4.573,129.598,0.408,2.099,1.549,109.266,3.612,1.688,-3.023,5.004,3,weighted_average,kalman(weighted_average),true
1788768425.027,0.560,-0.946,1.857,0.308,102.137,0.408,2.099,1.549,108.405,1.354,0.243,1.241,1.853,3,weighted_average,kalman(weighted_average),true
1788768425.083,0.616,-0.119,2.068,1.807,95.442,-0.078,2.071,1.787,102.001,0.041,0.002,-0.020,0.045,3,weighted_average,kalman(weighted_average),false
1788768425.132,0.665,-0.038,1.717,3.224,95.114,-0.078,2.071,1.787,97.934,-0.040,0.354,-1.437,1.480,3,weighted_average,kalman(weighted_average),true
1788768425.185,0.718,-1.259,1.124,-0.386,103.765,-0.078,2.071,1.787,100.063,1.180,0.947,2.173,2.648,7,weighted_average,kalman(weighted_average),true
1788768425.237,0.770,0.026,1.769,-0.165,93.347,-0.078,2.071,1.787,96.283,-0.105,0.301,1.953,1.979,3,weighted_average,kalman(weighted_average),true
1788768425.313,0.846,0.890,1.658,-0.125,86.226,-0.078,2.071,1.787,89.228,-0.968,0.413,1.912,2.183,3,weighted_average,kalman(weighted_average),true
1788768425.367,0.900,-3.362,0.744,2.685,138.120,-0.078,2.071,1.787,115.259,3.283,1.326,-0.898,3.653,17,weighted_average,kalman(weighted_average),true
1788768425.420,0.953,-1.630,1.592,1.778,111.242,-1.630,1.592,1.778,116.500,0.000,0.000,0.000,0.000,17,weighted_average,kalman(weighted_average),false
1788768425.473,1.006,-0.666,2.041,1.430,98.046,-0.669,2.040,1.431,109.031,-0.002,-0.001,0.001,0.003,3,weighted_average,kalman(weighted_average),false
1788768425.535,1.068,-0.138,1.326,1.096,92.218,-0.669,2.040,1.431,99.853,-0.531,0.714,0.334,0.951,17,weighted_average,kalman(weighted_average),true
1788768425.614,1.147,-0.209,1.388,1.454,92.921,-0.669,2.040,1.431,93.787,-0.460,0.652,-0.023,0.798,17,weighted_average,kalman(weighted_average),true
1788768425.672,1.205,-0.241,1.394,1.515,92.995,-0.258,1.419,1.511,91.689,-0.017,0.026,-0.003,0.031,17,weighted_average,kalman(weighted_average),false
1788768425.716,1.249,-0.269,1.982,0.910,92.727,-0.258,1.419,1.511,91.070,0.011,-0.563,0.602,0.824,15,weighted_average,kalman(weighted_average),true
1788768425.783,1.316,-1.187,1.800,1.164,99.174,-0.258,1.419,1.511,94.506,0.928,-0.380,0.348,1.062,7,weighted_average,kalman(weighted_average),true
1788768425.825,1.358,-0.023,1.130,1.114,90.161,-0.050,1.164,1.160,92.315,-0.027,0.033,0.046,0.063,1,weighted_average,kalman(weighted_average),false
1788768425.909,1.442,-0.055,1.121,1.172,89.976,-0.028,1.100,1.126,90.393,0.027,-0.021,-0.046,0.057,1,weighted_average,kalman(weighted_average),false
1788768425.958,1.491,-0.059,1.313,1.395,88.846,-0.028,1.100,1.126,89.101,0.031,-0.213,-0.269,0.345,17,weighted_average,kalman(weighted_average),true
1788768426.015,1.548,-0.086,1.332,1.306,88.875,-0.075,1.289,1.273,88.428,0.011,-0.043,-0.033,0.055,17,weighted_average,kalman(weighted_average),false
1788768426.062,1.595,-0.119,1.343,1.276,89.014,-0.109,1.347,1.293,88.332,0.011,0.003,0.017,0.020,17,weighted_average,kalman(weighted_average),false
1788768426.121,1.654,-0.099,1.337,1.532,88.653,-0.113,1.369,1.462,88.167,-0.014,0.032,-0.070,0.078,17,weighted_average,kalman(weighted_average),false
1788768426.207,1.740,-0.052,1.129,1.276,88.510,-0.113,1.369,1.462,88.125,-0.062,0.239,0.186,0.310,1,weighted_average,kalman(weighted_average),true
1788768426.257,1.789,-0.035,1.137,1.281,87.920,-0.046,1.170,1.306,87.928,-0.011,0.032,0.025,0.042,1,weighted_average,kalman(weighted_average),false
1788768426.314,1.847,-0.037,1.838,1.383,88.621,-0.046,1.170,1.306,88.222,-0.009,-0.668,-0.077,0.673,9,weighted_average,kalman(weighted_average),true
1788768426.358,1.891,-0.040,1.820,1.407,88.330,-0.046,1.170,1.306,88.272,-0.006,-0.651,-0.101,0.659,9,weighted_average,kalman(weighted_average),true
1788768426.417,1.950,-0.036,1.819,1.437,87.848,-0.046,1.170,1.306,88.048,-0.010,-0.649,-0.131,0.663,9,weighted_average,kalman(weighted_average),true
1788768426.495,2.027,-0.028,1.830,1.476,87.170,-0.029,1.794,1.466,87.464,-0.001,-0.036,-0.009,0.037,9,weighted_average,kalman(weighted_average),false
1788768426.579,2.112,-0.028,1.830,1.476,87.170,-0.027,1.877,1.488,87.135,0.001,0.048,0.012,0.049,9,weighted_average,kalman(weighted_average),false
1788768426.620,2.153,-0.035,1.832,1.493,87.035,-0.031,1.873,1.498,87.001,0.004,0.041,0.004,0.042,9,weighted_average,kalman(weighted_average),false
1788768426.668,2.200,-0.068,1.140,1.428,85.859,-0.031,1.873,1.498,86.318,0.037,0.734,0.070,0.738,1,weighted_average,kalman(weighted_average),true
1788768426.747,2.279,-0.020,1.680,1.517,84.554,-0.022,1.711,1.514,85.005,-0.002,0.031,-0.003,0.031,11,weighted_average,kalman(weighted_average),false
1788768426.814,2.347,-0.016,1.678,1.539,84.048,-0.016,1.665,1.534,84.089,-0.001,-0.013,-0.005,0.013,11,weighted_average,kalman(weighted_average),false
1788768426.856,2.389,-0.016,1.678,1.539,84.048,-0.015,1.658,1.540,83.811,0.001,-0.020,0.002,0.020,11,weighted_average,kalman(weighted_average),false
1788768426.924,2.457,-0.019,1.675,1.549,83.850,-0.016,1.656,1.551,83.514,0.003,-0.020,0.001,0.020,11,weighted_average,kalman(weighted_average),false
1788768427.026,2.559,-0.021,1.676,1.598,83.027,-0.020,1.666,1.592,82.935,0.001,-0.009,-0.006,0.011,11,weighted_average,kalman(weighted_average),false
1788768427.078,2.610,-0.007,1.683,1.614,82.666,-0.012,1.678,1.613,82.643,-0.005,-0.005,-0.001,0.007,11,weighted_average,kalman(weighted_average),false
1788768427.133,2.666,-0.012,1.683,1.628,82.552,-0.011,1.684,1.630,82.445,0.001,0.001,0.003,0.003,11,weighted_average,kalman(weighted_average),false
1788768427.188,2.721,-0.019,1.687,1.642,82.512,-0.015,1.688,1.645,82.357,0.004,0.001,0.003,0.005,11,weighted_average,kalman(weighted_average),false
1788768427.276,2.809,-0.002,1.695,1.686,81.529,-0.006,1.696,1.683,81.703,-0.004,0.000,-0.004,0.005,11,weighted_average,kalman(weighted_average),false
1788768427.337,2.870,-0.007,1.701,1.712,81.072,-0.005,1.701,1.711,81.175,0.002,0.000,-0.002,0.003,11,weighted_average,kalman(weighted_average),false
1788768427.384,2.917,-0.011,1.702,1.747,80.756,-0.008,1.703,1.741,80.795,0.003,0.001,-0.006,0.007,11,weighted_average,kalman(weighted_average),false
1788768427.433,2.966,-0.004,1.711,1.759,80.506,-0.006,1.709,1.762,80.469,-0.002,-0.002,0.003,0.004,11,weighted_average,kalman(weighted_average),false
1788768427.487,3.019,-0.004,1.708,1.786,80.057,-0.004,1.711,1.786,80.071,-0.000,0.002,0.000,0.002,11,weighted_average,kalman(weighted_average),false
1788768427.581,3.114,-0.009,1.709,1.808,79.736,-0.008,1.711,1.813,79.618,0.002,0.002,0.005,0.006,11,weighted_average,kalman(weighted_average),false
1788768427.670,3.203,-0.006,1.713,1.817,79.526,-0.007,1.713,1.822,79.404,-0.001,-0.000,0.005,0.005,11,weighted_average,kalman(weighted_average),false
1788768427.762,3.295,-0.006,1.713,1.817,79.526,-0.006,1.714,1.821,79.396,-0.000,0.000,0.004,0.004,11,weighted_average,kalman(weighted_average),false
1788768427.942,3.474,-0.006,1.713,1.817,79.526,-0.006,1.713,1.817,79.483,0.000,0.000,0.001,0.001,11,weighted_average,kalman(weighted_average),false
1788768428.020,3.553,-0.006,1.713,1.817,79.526,-0.006,1.713,1.816,79.530,0.000,-0.000,-0.000,0.000,11,weighted_average,kalman(weighted_average),false
1788768428.164,3.697,-0.009,1.716,1.832,79.398,-0.009,1.715,1.830,79.434,0.000,-0.000,-0.002,0.002,11,weighted_average,kalman(weighted_average),false
1788768428.240,3.773,-0.009,1.716,1.832,79.398,-0.009,1.716,1.833,79.396,-0.000,0.000,0.001,0.001,11,weighted_average,kalman(weighted_average),false
1788768428.319,3.852,-0.009,1.716,1.832,79.398,-0.009,1.716,1.833,79.384,-0.000,0.000,0.002,0.002,11,weighted_average,kalman(weighted_average),false
1788768428.409,3.942,-0.009,1.716,1.832,79.398,-0.009,1.716,1.832,79.385,-0.000,0.000,0.001,0.001,11,weighted_average,kalman(weighted_average),false
1788768428.471,4.004,-0.009,1.716,1.832,79.398,-0.009,1.716,1.832,79.391,-0.000,0.000,0.000,0.000,11,weighted_average,kalman(weighted_average),false
1788768428.523,4.056,-0.009,1.716,1.832,79.398,-0.009,1.716,1.832,79.394,0.000,-0.000,-0.000,0.000,11,weighted_average,kalman(weighted_average),false
1788768428.574,4.107,-0.009,1.716,1.832,79.398,-0.009,1.715,1.832,79.396,0.000,-0.000,-0.000,0.000,11,weighted_average,kalman(weighted_average),false
1788768428.688,4.221,-0.009,1.716,1.832,79.398,-0.009,1.715,1.832,79.398,0.000,-0.000,-0.000,0.000,11,weighted_average,kalman(weighted_average),false
1788768428.749,4.282,-0.009,1.716,1.832,79.398,-0.009,1.716,1.832,79.399,0.000,-0.000,-0.000,0.000,11,weighted_average,kalman(weighted_average),false
1788768428.790,4.323,-0.009,1.716,1.832,79.398,-0.009,1.716,1.832,79.399,0.000,-0.000,-0.000,0.000,11,weighted_average,kalman(weighted_average),false
