# =============================================================================
# CONFRONTO POSE APRILTAG RAW E POSE FILTRATE KALMAN
# =============================================================================
# Descrizione: tabella per valutare quanto il filtro di Kalman modifica la posa stimata a partire dalle misure grezze degli AprilTag.
# Generato il: 2026-09-08 11:15:20
# Formato dati: tabella CSV testuale con separatore ','
# Nota: le righe che iniziano con '#' sono commenti descrittivi.
# Separatore degli ID AprilTag multipli: '|'
#
# Legenda colonne:
# - timestamp_s: timestamp assoluto UNIX del campione [s]
# - tempo_relativo_s: tempo trascorso dal primo campione del file [s]
# - raw_x_m: coordinata X della posa grezza AprilTag [m]
# - raw_y_m: coordinata Y della posa grezza AprilTag [m]
# - raw_z_m: coordinata Z della posa grezza AprilTag [m]
# - raw_yaw_deg: yaw associato alla posa grezza AprilTag [deg]
# - kalman_x_m: coordinata X dopo filtraggio di Kalman [m]
# - kalman_y_m: coordinata Y dopo filtraggio di Kalman [m]
# - kalman_z_m: coordinata Z dopo filtraggio di Kalman [m]
# - kalman_yaw_deg: yaw filtrato da Kalman se yaw_filter_enabled=True, altrimenti corrisponde a quello grezzo [deg]
# - errore_x_m: differenza kalman_x_m - raw_x_m [m]
# - errore_y_m: differenza kalman_y_m - raw_y_m [m]
# - errore_z_m: differenza kalman_z_m - raw_z_m [m]
# - norma_errore_m: norma euclidea della correzione introdotta dal filtro [m]
# - tag_ids: ID degli AprilTag usati per la stima, separati dal carattere indicato sopra
# - sorgente_raw: descrizione della sorgente della posa grezza
# - sorgente_kalman: descrizione della sorgente della posa filtrata
# - outlier_scartato: true se il filtro di Kalman ha scartato la misura grezza: la posa filtrata e' solo la previsione
# =============================================================================

timestamp_s,tempo_relativo_s,raw_x_m,raw_y_m,raw_z_m,raw_yaw_deg,kalman_x_m,kalman_y_m,kalman_z_m,kalman_yaw_deg,errore_x_m,errore_y_m,errore_z_m,norma_errore_m,tag_ids,sorgente_raw,sorgente_kalman,outlier_scartato
1788858768.895,0.000,-0.183,1.429,0.716,78.158,-0.183,1.429,0.716,78.158,0.000,0.000,0.000,0.000,0,weighted_average,kalman(weighted_average),false
1788858769.005,0.110,-0.179,1.432,0.721,78.006,-0.179,1.432,0.721,78.092,-0.000,-0.000,-0.000,0.000,0,weighted_average,kalman(weighted_average),false
1788858769.055,0.160,-0.180,1.430,0.724,77.896,-0.180,1.431,0.723,77.977,0.000,0.001,-0.001,0.001,0,weighted_average,kalman(weighted_average),false
1788858769.104,0.209,-0.168,1.438,0.729,77.523,-0.172,1.436,0.728,77.704,-0.003,-0.002,-0.001,0.004,0,weighted_average,kalman(weighted_average),false
1788858769.162,0.267,-0.184,1.432,0.722,78.077,-0.179,1.434,0.725,77.838,0.005,0.002,0.003,0.006,0,weighted_average,kalman(weighted_average),false
1788858769.246,0.351,-0.177,1.436,0.731,77.667,-0.178,1.435,0.730,77.704,-0.001,-0.000,-0.002,0.002,0,weighted_average,kalman(weighted_average),false
1788858769.294,0.400,-0.201,2.032,1.238,78.537,-0.178,1.435,0.730,78.144,0.023,-0.597,-0.508,0.784,3,weighted_average,kalman(weighted_average),true
1788858769.348,0.453,-0.169,1.440,0.738,77.330,-0.171,1.439,0.736,77.755,-0.002,-0.001,-0.002,0.002,0,weighted_average,kalman(weighted_average),false
1788858769.397,0.503,-0.097,1.467,0.772,74.628,-0.123,1.457,0.760,76.086,-0.026,-0.010,-0.012,0.031,0,weighted_average,kalman(weighted_average),false
1788858769.451,0.557,-0.222,2.037,1.459,78.504,-0.123,1.457,0.760,77.047,0.098,-0.580,-0.700,0.914,3,weighted_average,kalman(weighted_average),true
1788858769.533,0.638,-0.516,1.770,-0.050,81.345,-0.123,1.457,0.760,79.696,0.392,-0.312,0.810,0.953,3,weighted_average,kalman(weighted_average),true
1788858769.587,0.692,-0.050,1.794,0.027,77.531,-0.123,1.457,0.760,78.868,-0.074,-0.337,0.733,0.810,3,weighted_average,kalman(weighted_average),true
1788858769.654,0.759,0.033,1.883,2.639,75.590,-0.123,1.457,0.760,77.059,-0.157,-0.425,-1.879,1.933,3,weighted_average,kalman(weighted_average),true
1788858769.697,0.802,-0.766,1.769,-0.001,83.347,-0.745,1.759,0.024,80.150,0.021,-0.010,0.025,0.034,3,weighted_average,kalman(weighted_average),false
1788858769.753,0.858,-0.513,1.772,-0.053,81.321,-0.745,1.759,0.024,81.166,-0.233,-0.013,0.077,0.245,3,weighted_average,kalman(weighted_average),true
1788858769.846,0.951,-0.433,1.908,2.528,79.748,-0.745,1.759,0.024,80.728,-0.313,-0.149,-2.504,2.528,3,weighted_average,kalman(weighted_average),true
1788858769.893,0.999,-0.586,1.728,-0.109,81.991,-0.598,1.730,-0.099,81.498,-0.012,0.002,0.010,0.015,3,weighted_average,kalman(weighted_average),false
1788858769.941,1.046,-0.036,1.812,2.876,76.009,-0.598,1.730,-0.099,78.756,-0.562,-0.082,-2.975,3.029,3,weighted_average,kalman(weighted_average),true
1788858769.992,1.097,-0.112,1.868,2.750,76.865,-0.598,1.730,-0.099,77.409,-0.486,-0.137,-2.849,2.893,3,weighted_average,kalman(weighted_average),true
1788858770.045,1.150,-0.051,1.794,0.030,77.710,-0.115,1.787,0.015,77.091,-0.064,-0.008,-0.015,0.066,3,weighted_average,kalman(weighted_average),false
1788858770.131,1.236,-0.259,1.866,2.743,78.079,-0.115,1.787,0.015,77.280,0.144,-0.079,-2.728,2.733,3,weighted_average,kalman(weighted_average),true
1788858770.181,1.286,0.358,1.959,1.936,73.632,-0.115,1.787,0.015,75.118,-0.474,-0.172,-1.920,1.985,3,weighted_average,kalman(weighted_average),true
1788858770.231,1.336,-0.242,1.865,2.730,78.053,-0.115,1.787,0.015,76.272,0.127,-0.078,-2.715,2.719,3,weighted_average,kalman(weighted_average),true
1788858770.281,1.386,-0.052,2.004,1.857,77.157,-0.115,1.787,0.015,76.648,-0.063,-0.217,-1.842,1.856,3,weighted_average,kalman(weighted_average),true
1788858770.332,1.437,-0.357,1.813,0.075,80.212,-0.349,1.812,0.073,78.496,0.008,-0.001,-0.002,0.008,3,weighted_average,kalman(weighted_average),false
1788858770.415,1.520,-0.771,1.828,0.200,83.529,-0.682,1.826,0.173,82.045,0.089,-0.002,-0.028,0.093,3,weighted_average,kalman(weighted_average),false
1788858770.465,1.571,0.479,1.849,2.609,72.069,-0.682,1.826,0.173,77.109,-1.162,-0.023,-2.436,2.699,3,weighted_average,kalman(weighted_average),true
1788858770.521,1.626,-0.787,1.873,0.376,83.611,-0.768,1.865,0.340,80.323,0.019,-0.008,-0.037,0.042,3,weighted_average,kalman(weighted_average),false
1788858770.569,1.674,-0.256,2.032,1.509,78.974,-0.768,1.865,0.340,79.921,-0.512,-0.167,-1.169,1.287,3,weighted_average,kalman(weighted_average),true
1788858770.620,1.726,-0.898,1.817,0.234,84.506,-0.870,1.827,0.256,82.447,0.028,0.010,0.022,0.037,3,weighted_average,kalman(weighted_average),false
1788858770.704,1.809,-0.687,1.757,-0.056,82.843,-0.750,1.770,0.012,83.363,-0.063,0.012,0.069,0.094,3,weighted_average,kalman(weighted_average),false
1788858770.754,1.859,-0.431,1.981,0.795,80.574,-0.750,1.770,0.012,82.135,-0.319,-0.212,-0.782,0.871,3,weighted_average,kalman(weighted_average),true
1788858770.808,1.914,-0.920,1.759,0.055,84.792,-0.888,1.761,0.047,83.628,0.033,0.002,-0.008,0.034,3,weighted_average,kalman(weighted_average),false
1788858770.859,1.965,-0.378,1.853,2.758,79.178,-0.888,1.761,0.047,81.534,-0.510,-0.092,-2.711,2.760,3,weighted_average,kalman(weighted_average),true
1788858770.908,2.013,-0.338,1.772,0.002,80.046,-0.888,1.761,0.047,80.595,-0.549,-0.010,0.045,0.551,3,weighted_average,kalman(weighted_average),true
1788858770.993,2.098,-0.527,1.825,0.098,81.561,-0.559,1.819,0.093,80.841,-0.033,-0.006,-0.005,0.033,3,weighted_average,kalman(weighted_average),false
1788858771.039,2.145,-0.262,1.809,0.101,79.371,-0.339,1.818,0.102,79.972,-0.078,0.009,0.001,0.078,3,weighted_average,kalman(weighted_average),false
1788858771.094,2.199,-0.454,1.708,-0.183,80.979,-0.339,1.818,0.102,80.320,0.114,0.109,0.286,0.327,3,weighted_average,kalman(weighted_average),true
1788858771.151,2.256,-0.899,1.748,0.007,84.572,-0.339,1.818,0.102,82.599,0.560,0.070,0.096,0.572,3,weighted_average,kalman(weighted_average),true
