# =============================================================================
# LOG MISSIONE AUTOPILOTA APRILTAG
# =============================================================================
# Descrizione: campioni registrati durante il volo autonomo; include posa stimata, waypoint attivo, distanze dal target, comandi RC e stato della missione.
# Generato il: 2026-09-08 11:15:20
# Formato dati: tabella CSV testuale con separatore ','
# Nota: le righe che iniziano con '#' sono commenti descrittivi.
# Separatore degli ID AprilTag multipli: '|'
#
# Legenda colonne:
# - timestamp_s: timestamp assoluto UNIX del campione [s]
# - tempo_relativo_s: tempo trascorso dal primo campione del file [s]
# - x_mondo_m: coordinata X della posa usata dall'autopilota nel frame mondo [m]
# - y_mondo_m: coordinata Y della posa usata dall'autopilota nel frame mondo [m]
# - z_mondo_m: coordinata Z della posa usata dall'autopilota nel frame mondo [m]
# - yaw_mondo_deg: yaw della posa usata dall'autopilota [deg]
# - waypoint_x_m: coordinata X del waypoint attivo [m]
# - waypoint_y_m: coordinata Y del waypoint attivo [m]
# - waypoint_z_m: coordinata Z del waypoint attivo [m]
# - waypoint_yaw_deg: yaw desiderato del waypoint attivo [deg]
# - comando_lr: comando RC laterale left/right inviato o calcolato dall'autopilota
# - comando_fb: comando RC forward/backward inviato o calcolato dall'autopilota
# - comando_ud: comando RC up/down inviato o calcolato dall'autopilota
# - comando_yaw: comando RC di rotazione yaw inviato o calcolato dall'autopilota
# - distanza_xy_m: distanza planare dal waypoint attivo [m]
# - distanza_3d_m: distanza spaziale dal waypoint attivo [m]
# - errore_yaw_deg: errore di orientamento rispetto al waypoint [deg]
# - indice_waypoint: indice del waypoint attivo nella sequenza
# - waypoint_raggiunto: true se il waypoint è stato considerato raggiunto in quel campione
# - missione_finita: true se la sequenza di waypoint risulta completata
# - fault: true se il controllore segnala una condizione anomala
# - motivo: motivo diagnostico restituito dall'autopilota
# - tag_ids: ID degli AprilTag usati per la stima, separati dal carattere indicato sopra
# - sorgente_posa: descrizione della sorgente della posa usata dall'autopilota
# =============================================================================

timestamp_s,tempo_relativo_s,x_mondo_m,y_mondo_m,z_mondo_m,yaw_mondo_deg,waypoint_x_m,waypoint_y_m,waypoint_z_m,waypoint_yaw_deg,comando_lr,comando_fb,comando_ud,comando_yaw,distanza_xy_m,distanza_3d_m,errore_yaw_deg,indice_waypoint,waypoint_raggiunto,missione_finita,fault,motivo,tag_ids,sorgente_posa
1788858775.214,0.000,-0.189,1.560,1.875,77.287,0.000,1.200,2.000,70.000,13,15,0,-18,0.407,0.426,-7.287,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858775.317,0.103,-0.190,1.562,1.872,77.273,0.000,1.200,2.000,70.000,13,16,0,-18,0.408,0.428,-7.273,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858775.360,0.146,-0.191,1.565,1.869,77.273,0.000,1.200,2.000,70.000,13,16,0,-18,0.412,0.432,-7.273,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858775.433,0.219,-0.191,1.566,1.867,77.272,0.000,1.200,2.000,70.000,13,16,0,-18,0.413,0.433,-7.272,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858775.482,0.268,-0.189,1.568,1.869,77.248,0.000,1.200,2.000,70.000,13,16,0,-18,0.414,0.434,-7.248,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858775.583,0.369,-0.190,1.571,1.868,77.247,0.000,1.200,2.000,70.000,13,16,0,-18,0.417,0.437,-7.247,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858775.621,0.406,-0.191,1.576,1.868,77.154,0.000,1.200,2.000,70.000,14,16,0,-18,0.422,0.442,-7.154,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858775.668,0.454,-0.190,1.578,1.865,76.960,0.000,1.200,2.000,70.000,13,16,0,-17,0.422,0.444,-6.960,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858775.723,0.509,-0.187,1.579,1.867,76.625,0.000,1.200,2.000,70.000,13,16,0,-17,0.422,0.443,-6.625,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858775.776,0.562,-0.185,1.574,1.863,76.272,0.000,1.200,2.000,70.000,13,16,0,-16,0.417,0.439,-6.272,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858775.881,0.667,-0.184,1.571,1.859,75.987,0.000,1.200,2.000,70.000,13,16,0,-15,0.415,0.438,-5.987,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858775.921,0.707,-0.178,1.569,1.863,75.356,0.000,1.200,2.000,70.000,13,16,0,-13,0.410,0.433,-5.356,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858775.967,0.753,-0.174,1.565,1.863,74.901,0.000,1.200,2.000,70.000,13,15,0,-12,0.404,0.427,-4.901,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858776.022,0.808,-0.169,1.559,1.862,74.397,0.000,1.200,2.000,70.000,13,15,0,-11,0.396,0.420,-4.397,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858776.146,0.932,-0.164,1.555,1.866,74.026,0.000,1.200,2.000,70.000,13,15,0,-10,0.391,0.413,-4.026,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858776.185,0.971,-0.163,1.551,1.869,73.757,0.000,1.200,2.000,70.000,13,15,0,0,0.387,0.409,-3.757,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858776.237,1.023,-0.158,1.543,1.870,73.474,0.000,1.200,2.000,70.000,12,14,0,0,0.378,0.400,-3.474,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858776.282,1.068,-0.151,1.533,1.866,73.109,0.000,1.200,2.000,70.000,12,14,0,0,0.366,0.389,-3.109,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858776.332,1.118,-0.142,1.519,1.866,72.714,0.000,1.200,2.000,70.000,11,13,0,0,0.349,0.373,-2.714,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858776.434,1.220,-0.134,1.505,1.868,72.403,0.000,1.200,2.000,70.000,11,13,0,0,0.333,0.358,-2.403,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858776.471,1.257,-0.126,1.488,1.869,72.148,0.000,1.200,2.000,70.000,10,12,0,0,0.314,0.340,-2.148,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858776.518,1.304,-0.122,1.478,1.867,72.174,0.000,1.200,2.000,70.000,10,11,0,0,0.304,0.332,-2.174,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858776.574,1.360,-0.116,1.469,1.865,72.164,0.000,1.200,2.000,70.000,10,11,0,0,0.293,0.323,-2.164,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858776.623,1.409,-0.109,1.456,1.865,72.139,0.000,1.200,2.000,70.000,9,11,0,0,0.278,0.309,-2.139,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858776.732,1.518,-0.103,1.446,1.866,72.120,0.000,1.200,2.000,70.000,9,10,0,0,0.266,0.298,-2.120,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858776.774,1.560,-0.090,1.424,1.865,72.078,0.000,1.200,2.000,70.000,8,9,0,0,0.241,0.276,-2.078,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858776.821,1.607,-0.086,1.410,1.865,72.129,0.000,1.200,2.000,70.000,7,9,0,0,0.227,0.264,-2.129,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858776.871,1.657,-0.078,1.398,1.867,72.080,0.000,1.200,2.000,70.000,7,8,0,0,0.213,0.251,-2.080,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858776.922,1.708,-0.074,1.390,1.866,72.093,0.000,1.200,2.000,70.000,6,8,0,0,0.204,0.244,-2.093,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858777.026,1.812,-0.053,1.376,1.859,71.715,0.000,1.200,2.000,70.000,5,8,0,0,0.184,0.231,-1.715,0,false,false,false,tracking,11,kalman(weighted_average)
1788858777.064,1.850,-0.031,1.353,1.860,71.422,0.000,1.200,2.000,70.000,4,7,0,0,0.156,0.210,-1.422,0,false,false,false,tracking,11,kalman(weighted_average)
1788858777.114,1.900,-0.041,1.348,1.863,71.785,0.000,1.200,2.000,70.000,4,6,0,0,0.154,0.206,-1.785,0,false,false,false,tracking,11|14,kalman(weighted_average)
1788858777.162,1.947,-0.041,1.337,1.867,71.976,0.000,1.200,2.000,70.000,0,0,0,0,0.143,0.196,-1.976,0,false,false,false,supervision_stop_started,11|14,kalman(weighted_average)
1788858777.325,2.111,-0.039,1.329,1.868,72.079,0.000,1.200,2.000,70.000,0,0,0,0,0.134,0.188,-2.079,0,false,false,false,supervision_stop,11|14,kalman(weighted_average)
1788858777.369,2.155,-0.019,1.298,1.864,72.080,0.000,1.200,2.000,70.000,0,0,0,0,0.099,0.168,-2.080,0,false,false,false,supervision_stop,11|14,kalman(weighted_average)
1788858777.439,2.225,-0.013,1.291,1.866,72.045,0.000,1.200,2.000,70.000,0,0,0,0,0.092,0.163,-2.045,0,false,false,false,supervision_stop,11|14,kalman(weighted_average)
1788858777.495,2.280,-0.009,1.280,1.865,72.030,0.000,1.200,2.000,70.000,0,0,0,0,0.080,0.157,-2.030,0,false,false,false,supervision_stop,11|14,kalman(weighted_average)
1788858777.590,2.376,-0.005,1.269,1.866,72.007,0.000,1.200,2.000,70.000,0,0,0,0,0.069,0.151,-2.007,0,false,false,false,supervision_stop,11|14,kalman(weighted_average)
1788858777.626,2.412,0.016,1.249,1.859,71.570,0.000,1.200,2.000,70.000,0,0,0,0,0.052,0.150,-1.570,0,false,false,false,supervision_stop,11,kalman(weighted_average)
1788858777.677,2.462,0.026,1.242,1.855,71.346,0.000,1.200,2.000,70.000,0,0,0,0,0.050,0.153,-1.346,0,false,false,false,supervision_stop,11,kalman(weighted_average)
